0.0144 0.1256 0.1394 0.1380 0.0894 0.0666
0.0058 0.0539 0.0682 0.0753 0.0543 0.0538
0.0086 0.0330 0.0497 0.0527 0.0428 0.0390
0.0058 0.0224 0.0281 0.0427 0.0319 0.0310
0.0029 0.0183 0.0207 0.0314 0.0263 0.0301
0.0058 0.0155 0.0168 0.0188 0.0238 0.0201
0.0029 0.0125 0.0168 0.0226 0.0178 0.0234
0.0000 0.0095 0.0124 0.0138 0.0150 0.0182
0.0029 0.0102 0.0093 0.0113 0.0156 0.0206
0.0029 0.0089 0.0111 0.0088 0.0124 0.0148
0.0029 0.0088 0.0098 0.0050 0.0095 0.0145
0.0058 0.0060 0.0103 0.0113 0.0103 0.0126
0.0029 0.0065 0.0060 0.0163 0.0091 0.0103
0.0029 0.0055 0.0079 0.0138 0.0083 0.0107
0.0000 0.0053 0.0059 0.0125 0.0063 0.0095
0.0029 0.0048 0.0073 0.0063 0.0073 0.0100
0.0029 0.0047 0.0055 0.0088 0.0062 0.0088
0.0000 0.0050 0.0066 0.0075 0.0063 0.0091
0.0000 0.0043 0.0054 0.0088 0.0052 0.0079
0.0029 0.0040 0.0051 0.0025 0.0047 0.0067
0.0029 0.0040 0.0027 0.0038 0.0051 0.0073
0.0000 0.0045 0.0049 0.0100 0.0042 0.0065
0.0029 0.0040 0.0050 0.0038 0.0049 0.0048
0.0029 0.0029 0.0050 0.0038 0.0043 0.0070
0.0000 0.0039 0.0038 0.0013 0.0042 0.0056
0.0029 0.0032 0.0032 0.0100 0.0041 0.0065
0.0000 0.0034 0.0041 0.0075 0.0038 0.0051
0.0029 0.0031 0.0053 0.0038 0.0046 0.0053
0.0000 0.0039 0.0030 0.0050 0.0024 0.0048
0.0029 0.0029 0.0031 0.0038 0.0035 0.0050
0.0029 0.0032 0.0025 0.0013 0.0032 0.0050
0.0029 0.0034 0.0024 0.0125 0.0037 0.0039
0.0086 0.0029 0.0026 0.0063 0.0026 0.0047
0.0058 0.0025 0.0030 0.0025 0.0039 0.0050
