data_16.swc, -92.3491
data_17.swc, -80.3634
data_18.swc, -67.3724
data_19.swc, -169.7654
data_21.swc, -124.5031
data_22.swc, -129.9143
data_23.swc, -152.4729
data_24.swc, -79.0520
data_25.swc, -109.9368
data_26.swc, -120.2125
data_27.swc, -106.6249
data_28.swc, -170.6627
data_29.swc, -99.0787
data_01.swc, -200.9516
data_02.swc, -122.8677
data_03.swc, -115.3779
data_04.swc, -140.9188
data_05.swc, -132.4649
data_06.swc, -162.4291
data_07.swc, -131.7293
data_08.swc, -138.2035
data_09.swc, -128.6471
data_58.swc, -147.9276
data_59.swc, -145.0336
data_35.swc, -71.0379
data_36.swc, -69.9942
data_37.swc, -71.6867
data_38.swc, -87.9694
data_39.swc, -92.0481
data_40.swc, -116.1746
data_41.swc, -100.9320
data_55.swc, -69.9046
data_56.swc, -54.8576
data_57.swc, -52.8088
data_20.swc, -219.2378
data_42.swc, -279.6773
data_43.swc, -221.6633
data_44.swc, -256.0761
data_30.swc, -600.0178
data_31.swc, -390.9184
data_32.swc, -473.8178
data_33.swc, -373.7209
data_34.swc, -269.0331
data_10.swc, -431.6268
data_11.swc, -455.6342
data_12.swc, -537.5680
data_13.swc, -436.1735
data_14.swc, -551.9231
data_15.swc, -523.4439
data_52.swc, -596.0521
data_53.swc, -708.7386
data_54.swc, -526.3548
data_45.swc, -424.6677
data_46.swc, -310.5799
data_47.swc, -500.7545
data_48.swc, -405.1735
data_49.swc, -530.6789
data_50.swc, -370.5226
data_51.swc, -384.1436
data_62.swc, -626.6529
data_63.swc, -367.0372
